CODEBUCH Personennetzwerk,,,,,,,ADRA,Adventistische Entwicklungs- und Katastrophenhilfe ADRA Deutschland e. V.
,,,,,,,am,action Medeor
ALLGEMEIN,,,,,,,arche,arche noVa
"keine Umlaute, keine Sonderzeichen",,,,,,,ASB,Arbeiter-Samariter-Bund
Namen in edge- und nodelist gleich schreiben!,,,,,,,BORDA,BORDA
keine Leerzeichen hinter dem Namen!,,,,,,,care,care
auf einheitliche Schreibweise achten,,,,,,,cbm,Christoffel Blindenmission
,,,,,,,DAHW,Deutsche Lepra- und Tuberkulosehilfe e.V.
WERT,KOMMENTAR,,,,,,GTO,German Toilet Organization
edgelist,,,,,,,help,HELP - Hilfe zur Selbsthilfe
from,Name der Person (Mueller ODER MuellerH),,,,,,IOG,Ingenieure ohne Grenzen
to,NGO aus dem WASH-Netzwerk --> Liste NGO Abkürzungen,,,,,,JU,Johanniter Unfallhilfe e.V 
,,,,,,,MI ,Malteser International 
nodelist,,,,,,,PD ,Plan Deutschland 
id,abgekürzter Name der Person (an from/edgelist orientieren),,,,,,ToG,Tierärzte ohne Grenzen
name,ausgeschriebener Name (Hans Mueller),,,,,,VcA,Viva con Agua
sex,w/m,,,,,,WECF ,Women Engage For A Common Future e.V. 
position,"nur männliche Form: Präsident, Vizepräsident, Präsidium, Kuratorium, Vorstand",,,,,,WHH,Welthungerhilfe
,Doppelpositionen trennen mit Komma!,,,,,,WIN,Water Integrity Network
,"Stellvertretender Vorsitzende, Vorsitzende Kuratorium etc. weglassen --> einfach nur Kuratorium",,,,,,WRD,world relief Deutschland
Derzeitige NGO,--> Liste NGO Abkürzungen,,,,,,WU ,Wash United 
Unterscheidung Parteien, 0 Keine Partei  1 CDU  2 CSU  3 SPD  4 Bündnis 90 Grüne  5 FDP  6 Linke,,,,,,WV,World Vision
männlich,1,,,,,,,,,
